lr_enc,lr_dec,lr_dyn,lr_dyn_scale,epoch,t_total,t_static_recon,t_kl,t_dyn_recon,t_dyn,t_steady,t_dyn_attn,t_attn_pos,v_total,v_static_recon,v_kl,v_dyn_recon,v_dyn,v_steady,v_dyn_attn,v_attn_pos
0.0001,0.001,0.0001,0.0001,1.0,0.0033535572392945833,0.00037887578819965266,0.04929486319519026,0.0002893644759804694,0.0002499198572797234,0.0,0.0006749853949595726,0.0,0.0005801338068991465,6.822284965223634e-05,0.07097178560638845,4.2394263430649345e-05,0.00010357928075931252,0.0,0.0006638606792921863,0.0
0.00028000000000000003,0.001,0.00028000000000000003,0.00028000000000000003,2.0,0.0006365111164944307,7.406826349181257e-05,0.06464935022112142,4.8440012961777116e-05,6.443264411868678e-05,0.0,0.0006950107266636192,0.0,0.0008190899176582868,7.654435491387377e-05,0.07213528270620573,6.575140325909746e-05,5.875965873637998e-05,0.0,0.0007020276163641518,0.0
0.00046000000000000007,0.001,0.00046000000000000007,0.00046000000000000007,3.0,0.0006085720863332531,6.946929987378345e-05,0.05981587477022936,4.674333403167135e-05,5.206740182849174e-05,0.0,0.0006646830133724028,0.0,0.00038808666455459576,4.453524753629155e-05,0.0605847345248006,2.7188021668382764e-05,4.812354270762194e-05,0.0,0.0006274108427221277,0.0
0.00064,0.001,0.00064,0.00064,4.0,0.0005132583271976823,5.853025135781173e-05,0.0548221215029688,3.8897608922251276e-05,4.361604356512528e-05,0.0,0.0006568255997030911,0.0,0.0004783121043701407,5.2821864490949205e-05,0.05704778704566733,3.579460652249598e-05,4.2620285700453104e-05,0.0,0.0006234355582470987,0.0
0.0008200000000000001,0.001,0.0008200000000000001,0.0008200000000000001,5.0,0.00048363901415912305,5.479282769949833e-05,0.0494108543500989,3.683238826999446e-05,4.634136944826786e-05,0.0,0.0006477310965803049,0.0,0.0003598296540510113,4.092286248592202e-05,0.04835751260352952,2.6001969396540376e-05,4.266359535786403e-05,0.0,0.0006263224846402976,0.0
0.001,0.001,0.001,0.001,6.0,0.0004100998139792539,4.737555525040785e-05,0.04481928954940265,3.071475323091638e-05,4.345115735205209e-05,0.0,0.000641232057789118,0.0,0.00040509107631864195,4.746118920102388e-05,0.041371253439321035,3.063316129433398e-05,4.001597216302552e-05,0.0,0.0005925420959099104,0.0
0.001,0.001,0.001,0.001,7.0,0.00041649014112513436,4.7785868840274267e-05,0.04177626721387054,3.149490358975393e-05,5.6299249753021315e-05,0.0,0.0006349041813445415,0.0,0.0004109216981854787,5.209008829119968e-05,0.03840844222309814,3.085440921316207e-05,5.6192930970364066e-05,0.0,0.0006259780861343067,0.0
0.001,0.001,0.001,0.001,8.0,0.0003322800820563712,4.0129748523949185e-05,0.03983178645926701,2.4086811388466174e-05,5.136754643577882e-05,0.0,0.0006313676065024511,0.0,0.0003031318643681276,4.093173098136324e-05,0.036880719811702455,2.1486770049490956e-05,4.367936169484513e-05,0.0,0.0006083775920097384,0.0
0.001,0.001,0.001,0.001,9.0,0.0003556897917081484,4.224814370272718e-05,0.03931416226326767,2.615876457541871e-05,6.259044706287871e-05,0.0,0.0006280792897855134,0.0,0.00030377531579724854,3.727273542475924e-05,0.040490940897939504,2.119249047165163e-05,7.842740479897148e-05,0.0,0.0006243994172377529,0.0
0.001,0.001,0.001,0.001,10.0,0.00029697820089981104,3.630773345466639e-05,0.037612164538437916,2.111786329308374e-05,5.638098646842333e-05,0.0,0.000624157009744912,0.0,0.00034723807260275897,4.092769771267509e-05,0.038672470789943444,2.5680412663574642e-05,5.091821636984574e-05,0.0,0.0005741951279707723,0.0
